,masterid,mastermag,egfid,egfmag,station_number,fcmaster
184,38443255,3.86,37223636,1.99,1,2.921234392149318
185,38443223,3.8,37421981,2.77,1,12.296779630484103
186,38443223,3.8,38443375,2.76,2,5.459578892818264
187,38443223,3.8,37222692,2.73,2,10.726269130949596
188,38443223,3.8,37223228,2.61,2,3.454975185134609
189,38443223,3.8,37223212,2.48,2,4.558429981980435
190,38443223,3.8,38443399,2.42,1,5.340632496198849
191,38443223,3.8,37224436,2.27,2,4.872757044502191
192,38443223,3.8,38443479,2.21,1,10.177413982985097
193,38443223,3.8,37223372,2.2,2,6.301397991066402
194,38443223,3.8,37223956,2.16,1,6.570225944334723
195,38443223,3.8,37224364,2.14,3,2.60999748408028
196,38443223,3.8,37224332,2.11,1,5.504399743628659
197,38443223,3.8,37224292,2.08,1,12.74687568332146
198,38443223,3.8,37223172,2.07,1,9.403865062125751
199,38443223,3.8,37223348,2.07,1,1.6705174259025775
200,38443223,3.8,37223948,1.99,1,8.336706211387193
201,38443223,3.8,37224444,1.95,2,5.270774214337995
202,38443223,3.8,37223396,1.9,1,6.702921625624165
203,38443383,3.79,38443495,2.61,10,9.321647159501916
204,38443383,3.79,37222876,2.57,2,13.671544393220984
205,38443383,3.79,37222964,2.44,2,11.008363875597109
206,38443383,3.79,37223196,2.11,1,8.743591977782815
207,38443383,3.79,37224284,2.03,2,10.613296933642243
208,38443543,3.75,38443327,2.53,1,3.442704166242547
209,38443215,3.69,37222668,2.57,3,6.145319125263477
210,38443215,3.69,38443111,2.49,6,2.142220168044206
211,38443215,3.69,37224276,2.16,1,0.992358008615486
212,38443215,3.69,38443127,2.13,7,4.666680953899922
213,38443215,3.69,37222956,2.13,3,8.919299083490925
214,38443215,3.69,38443455,2.13,1,7.848437625022512
215,38443215,3.69,37223700,2.08,1,4.930299876438195
216,38443215,3.69,38443135,1.75,1,2.42689757399352
217,38443215,3.69,38443079,1.5,8,5.395669458861961
218,38443215,3.69,38443151,1.43,6,3.7906163572021856
219,37222372,3.66,37222596,2.52,1,0.9568336138291713
220,37222372,3.66,37222924,2.33,3,4.307461221733206
221,37222372,3.66,37224284,2.03,1,1.303328211853167
222,37223308,3.55,37222596,2.52,1,18.315310566769135
223,37223308,3.55,37222964,2.44,1,9.768255092989353
224,37223308,3.55,37222924,2.33,1,17.567898340587785
225,37223308,3.55,37224284,2.03,1,12.900842735523097
226,37223308,3.55,37223636,1.99,1,14.854183481466707
227,37422005,3.53,37222964,2.44,2,4.888353489871424
228,37422005,3.53,37223788,2.44,4,5.489822664872726
229,37422005,3.53,37222924,2.33,2,7.512237576783214
230,37422005,3.53,37222972,2.15,1,5.11150949366308
231,37422005,3.53,37223196,2.11,1,5.993075297713578
232,37422005,3.53,37224284,2.03,2,7.7164607273626125
233,38443391,3.51,37223316,2.32,1,14.26159836585596
234,38443391,3.51,37224340,2.11,3,7.017792574530006
235,37222396,3.5,37222684,2.37,1,0.7170877670525053
236,37222396,3.5,38443503,2.35,1,0.8273848775580727
237,37222396,3.5,37224356,1.84,1,0.7425427734501685
238,37421925,3.5,37222956,2.13,1,3.942701020981036
239,37421925,3.5,37223708,2.13,1,0.6142191039228957
240,38443279,3.5,38443399,2.42,1,5.138351435560234
241,38443279,3.5,37224452,2.31,1,4.592389542081053
242,38443279,3.5,37224436,2.27,1,6.286175350016954
243,38443279,3.5,37222892,2.24,1,2.3706228126030693
244,38443279,3.5,37223332,2.24,1,2.6723867737357536
245,38443279,3.5,38443479,2.21,1,11.180436846841458
246,38443279,3.5,37223372,2.2,2,3.4876378565702875
247,38443279,3.5,37223956,2.16,1,7.7412436703245735
248,38443279,3.5,37224364,2.14,1,4.149282849636053
249,38443279,3.5,37224332,2.11,1,5.427204768155748
250,38443279,3.5,37223348,2.07,1,6.388635854494074
251,38443279,3.5,37223636,1.99,1,15.9162425683724
252,38443279,3.5,37223948,1.99,1,12.295783040544212
253,38443279,3.5,37224444,1.95,1,9.384614881679157
254,38443279,3.5,37223396,1.9,1,11.588534279204591
255,37223244,3.49,37223172,2.07,1,16.26586714849118
256,38443287,3.46,37222964,2.44,1,0.6159576918205805
257,38443287,3.46,37222956,2.13,1,17.80399268660482
