,masterid,mastermag,egfid,egfmag,station_number,fcmaster
258,38471103,3.3,38462775,2.32,6,6.809582545402769
259,38471103,3.3,38462543,2.19,5,7.533962889499082
260,38471103,3.3,38467703,2.18,5,9.705093270809778
261,38471103,3.3,38471375,2.17,7,4.813935657098053
262,38471103,3.3,38473959,2.01,4,10.217250299282782
263,38564031,3.3,38464031,2.73,7,5.937090853765291
264,38564031,3.3,38508655,2.73,7,17.40463340658357
265,38564031,3.3,38469047,2.48,5,5.2365364106711985
266,38564031,3.3,38465527,2.38,2,14.045862589040787
267,38564031,3.3,38478807,2.31,2,9.023139020342324
268,38564031,3.3,38462735,2.29,1,6.969155638920237
269,38564031,3.3,38472951,2.06,4,17.904166463821433
270,38564031,3.3,38509063,2.04,10,11.134337878835602
271,38470119,3.29,38474535,2.75,5,36.80074436998195
272,38470119,3.29,38475463,2.64,5,4.65699007430892
273,38470119,3.29,38491343,2.62,4,5.385730917297543
274,38470119,3.29,38488519,2.6,6,3.884372715340223
275,38470119,3.29,38470879,2.56,5,4.619510796880534
276,38470119,3.29,38472631,2.46,7,3.7097034122634738
277,38470119,3.29,38471535,2.44,5,3.745156175878668
278,38470119,3.29,38470583,2.39,6,4.206078819219969
279,38470119,3.29,38473023,2.38,8,3.628183893546805
280,38470119,3.29,38473031,2.28,2,5.227290782516844
281,38470119,3.29,38471135,2.27,9,4.969534114425538
282,38470119,3.29,38478391,2.26,4,4.619886857848663
283,38470119,3.29,38475111,2.23,4,5.828093861459822
284,38470119,3.29,38476127,2.18,2,4.2422790081096995
285,38470119,3.29,38483095,2.16,5,4.407279654982351
286,38470119,3.29,38477431,2.13,4,3.03787096059376
287,38539031,3.29,38532399,2.61,7,3.558041484568129
288,38539031,3.29,38552759,2.27,5,3.571556620274843
289,38464775,3.28,38534031,2.28,5,2.0951127870734574
290,38464799,3.28,38464767,2.66,2,5.944995453515825
291,38464799,3.28,38470751,2.44,3,5.443044724716149
292,38478423,3.28,38459351,2.7,5,25.858624659416275
293,38478423,3.28,37236396,2.18,1,3.566813002936673
294,38478423,3.28,38550887,2.18,11,8.212737664500033
295,38478423,3.28,37233132,2.14,2,22.689786752673296
296,38530047,3.28,38514551,2.04,3,5.099131724515824
297,37222564,3.27,38443567,2.32,3,33.116735310717026
298,37222564,3.27,38444679,2.26,4,17.73367140654796
299,37222564,3.27,17850492,2.05,4,15.359400696353257
300,38458199,3.27,38466191,2.59,2,8.024505623203526
301,38458199,3.27,38460367,2.48,5,20.520824926546336
302,38458199,3.27,38580559,2.39,6,12.901359292027951
303,38458199,3.27,38459471,2.34,3,8.337020309444506
304,38458199,3.27,38461519,2.34,1,3.901249660782428
305,38458199,3.27,38477767,2.1,3,15.555626976694366
306,38458199,3.27,38480647,2.08,2,3.3096217944615742
307,38460471,3.27,38444135,2.5,2,6.828794120943001
308,38460471,3.27,38444527,2.3,10,6.80098828283301
309,38460471,3.27,37233020,2.02,8,8.776859450594367
310,38466583,3.27,38478503,2.52,5,5.065274320380123
311,38466583,3.27,38472639,2.3,1,3.8637185347585015
312,38466583,3.27,38472199,2.13,2,6.364800798208644
313,38524935,3.27,38475487,2.04,4,9.779901313669951
314,38541391,3.27,38464031,2.73,7,8.45586718204502
315,38541391,3.27,38489007,2.43,8,8.244630585166862
316,38541391,3.27,38465527,2.38,2,16.754901165754315
317,38541391,3.27,38499207,2.34,6,10.772015583264073
318,38541391,3.27,38478807,2.31,3,3.5092246491704495
319,38541391,3.27,38462735,2.29,1,4.664547445499183
320,38541391,3.27,38509063,2.04,9,7.864891087898107
321,38560831,3.27,38555079,2.72,11,3.537419327754096
322,38560831,3.27,38460455,2.28,1,4.9594165265888455
323,38446807,3.26,37243404,2.72,3,5.09361141425587
324,38446807,3.26,38447207,2.56,18,4.592142021988053
325,38446807,3.26,38483447,2.33,3,2.4510165925433967
326,37221564,3.26,38524367,2.03,1,4.4395876798754115
327,38457879,3.26,38492343,2.74,4,2.446060897916997
328,38457879,3.26,38580903,2.61,3,4.3794475505797825
329,38457879,3.26,38477575,2.5,3,7.71652258879764
330,38457879,3.26,38476975,2.38,3,2.5317755918792595
331,38457879,3.26,38466151,2.17,2,3.443012272564313
332,38458127,3.26,38493415,2.08,6,8.115963635407235
333,37227356,3.26,38465583,2.08,3,10.020107770733322
334,38460623,3.26,38460079,2.59,2,35.87165842921629
335,38444903,3.25,38539535,2.17,2,8.422383977566302
336,38446639,3.25,37243404,2.72,2,3.2067636626581293
337,38446639,3.25,38447207,2.56,18,7.470907121094207
338,38478823,3.25,38477607,2.03,5,6.421898920726959
339,38507423,3.25,37237404,2.58,1,29.242255297755147
340,38458159,3.24,38462055,2.56,1,3.507355873611168
341,38459127,3.24,37228852,2.72,1,10.83859933695437
